"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/1986","18,619.30","18,619.30","18,619.30","18,619.30","","0.79%"
"09/09/1986","18,474.10","18,474.10","18,474.10","18,474.10","","-0.42%"
"09/08/1986","18,552.20","18,552.20","18,552.20","18,552.20","","-1.19%"
"09/05/1986","18,775.07","18,775.07","18,775.07","18,775.07","","1.16%"
"09/04/1986","18,559.64","18,559.64","18,559.64","18,559.64","","0.29%"
"09/03/1986","18,505.44","18,505.44","18,505.44","18,505.44","","-1.01%"
"09/02/1986","18,694.93","18,694.93","18,694.93","18,694.93","","-0.67%"
"09/01/1986","18,820.75","18,820.75","18,820.75","18,820.75","","1.55%"
"08/29/1986","18,533.68","18,533.68","18,533.68","18,533.68","","0.90%"
"08/28/1986","18,367.98","18,367.98","18,367.98","18,367.98","","-0.73%"
"08/27/1986","18,503.27","18,503.27","18,503.27","18,503.27","","-0.74%"
"08/26/1986","18,640.81","18,640.81","18,640.81","18,640.81","","0.41%"
"08/25/1986","18,565.60","18,565.60","18,565.60","18,565.60","","0.67%"
"08/22/1986","18,441.31","18,441.31","18,441.31","18,441.31","","-1.25%"
"08/21/1986","18,675.60","18,675.60","18,675.60","18,675.60","","-1.38%"
"08/20/1986","18,936.19","18,936.19","18,936.19","18,936.19","","0.76%"
"08/19/1986","18,792.60","18,792.60","18,792.60","18,792.60","","1.05%"
"08/18/1986","18,597.39","18,597.39","18,597.39","18,597.39","","1.20%"
"08/15/1986","18,376.39","18,376.39","18,376.39","18,376.39","","0.61%"
"08/14/1986","18,264.69","18,264.69","18,264.69","18,264.69","","1.47%"
"08/13/1986","18,000.76","18,000.76","18,000.76","18,000.76","","1.16%"
"08/12/1986","17,794.69","17,794.69","17,794.69","17,794.69","","1.81%"
"08/11/1986","17,479.10","17,479.10","17,479.10","17,479.10","","0.25%"
"08/08/1986","17,435.52","17,435.52","17,435.52","17,435.52","","0.08%"
"08/07/1986","17,422.39","17,422.39","17,422.39","17,422.39","","0.40%"
"08/06/1986","17,353.50","17,353.50","17,353.50","17,353.50","","-0.35%"
"08/05/1986","17,414.80","17,414.80","17,414.80","17,414.80","","0.88%"
"08/04/1986","17,263.10","17,263.10","17,263.10","17,263.10","","-0.34%"
"08/01/1986","17,321.93","17,321.93","17,321.93","17,321.93","","-1.07%"
"07/31/1986","17,509.69","17,509.69","17,509.69","17,509.69","","-1.63%"
"07/30/1986","17,799.00","17,799.00","17,799.00","17,799.00","","0.40%"
"07/29/1986","17,728.89","17,728.89","17,728.89","17,728.89","","-1.72%"
"07/28/1986","18,038.89","18,038.89","18,038.89","18,038.89","","-0.06%"
"07/25/1986","18,050.59","18,050.59","18,050.59","18,050.59","","0.14%"
"07/24/1986","18,026.19","18,026.19","18,026.19","18,026.19","","0.93%"
"07/23/1986","17,860.10","17,860.10","17,860.10","17,860.10","","1.25%"
"07/22/1986","17,639.30","17,639.30","17,639.30","17,639.30","","0.67%"
"07/21/1986","17,522.19","17,522.19","17,522.19","17,522.19","","-1.78%"
"07/18/1986","17,838.84","17,838.84","17,838.84","17,838.84","","0.64%"
"07/17/1986","17,725.60","17,725.60","17,725.60","17,725.60","","0.14%"
"07/16/1986","17,700.89","17,700.89","17,700.89","17,700.89","","-1.02%"
"07/15/1986","17,882.80","17,882.80","17,882.80","17,882.80","","0.35%"
"07/14/1986","17,820.60","17,820.60","17,820.60","17,820.60","","0.85%"
"07/11/1986","17,670.77","17,670.77","17,670.77","17,670.77","","1.15%"
"07/10/1986","17,469.80","17,469.80","17,469.80","17,469.80","","-0.21%"
"07/09/1986","17,506.10","17,506.10","17,506.10","17,506.10","","-1.29%"
"07/08/1986","17,734.10","17,734.10","17,734.10","17,734.10","","0.11%"
"07/07/1986","17,714.10","17,714.10","17,714.10","17,714.10","","0.66%"
"07/04/1986","17,597.73","17,597.73","17,597.73","17,597.73","","-0.53%"
"07/03/1986","17,691.80","17,691.80","17,691.80","17,691.80","","0.12%"
"07/02/1986","17,669.89","17,669.89","17,669.89","17,669.89","","0.27%"
"07/01/1986","17,622.69","17,622.69","17,622.69","17,622.69","","-0.18%"
"06/30/1986","17,654.19","17,654.19","17,654.19","17,654.19","","0.88%"
